provincia_inscripcion;canton_inscripcion;parroquia_inscripcion;anio_inscripcion;mes_inscripcion;dia_inscripcion;fecha_inscripcion;anio_sentencia_divorcio;mes_sentencia_divorcio;dia_sentencia_divorcio;fecha_sentencia_divorcio;anio_matrimonio;mes_matrimonio;dia_matrimonio;fecha_matrimonio;capitulaciones_bienes;duracion_matrimonio_anios;causa_divorcio;nacionalidad_conyuge1;pais_conyuge1;sexo_conyuge1;anio_nacimiento_conyuge1;mes_nacimiento_conyuge1;dia_nacimiento_conyuge1;fecha_nacimiento_conyuge1;edad_conyuge1;hijos_a_cargo_conyuge1;autoidentificacion_etnica_conyuge1;nivel_instruccion_conyuge1;sabe_leer_escribir_conyuge1;provincia_residencia_conyuge1;canton_residencia_conyuge1;parroquia_residencia_conyuge1;area_residencia_conyuge1;nacionalidad_conyuge2;pais_conyuge2;sexo_conyuge2;anio_nacimiento_conyuge2;mes_nacimiento_conyuge2;dia_nacimiento_conyuge2;fecha_nacimiento_conyuge2;edad_conyuge2;hijos_a_cargo_conyuge2;autoidentificacion_etnica_conyuge2;nivel_instruccion_conyuge2;sabe_leer_escribir_conyuge2;provincia_residencia_conyuge2;canton_residencia_conyuge2;parroquia_residencia_conyuge2;area_residencia_conyuge2
Chimborazo;Riobamba;Lizarzaburu;2020;Enero;1;2020/01/01;2019;Diciembre;2;2019/12/02;1997;Noviembre;15;1997/11/15;No;22;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1980;Noviembre;8;1980/11/08;39;0;Indigena;Primaria;Si;Chimborazo;Colta;Columbe;Rural;Ecuatoriano;Ecuador;Mujer;1981;Diciembre;17;1981/12/17;38;1;Indigena;Primaria;Si;Chimborazo;Colta;Columbe;Rural
Manabí;Portoviejo;18 De Octubre;2020;Enero;2;2020/01/02;2019;Diciembre;24;2019/12/24;1965;Diciembre;29;1965/12/29;No;53;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1945;Marzo;20;1945/03/20;74;0;Mestiza;Secundaria;Si;Manabí;Portoviejo;Andrés De Vera;Urbana;Ecuatoriano;Ecuador;Mujer;1945;Abril;4;1945/04/04;74;0;Mestiza;Educación básica;Si;Manabí;Portoviejo;Colón;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Enero;2;2020/01/02;2019;Diciembre;18;2019/12/18;1973;Septiembre;18;1973/09/18;No;46;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1952;Febrero;23;1952/02/23;67;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana;Ecuatoriano;Ecuador;Mujer;1955;Enero;29;1955/01/29;64;0;Mestiza;Superior no Universitario;Si;Guayas;Guayaquil;Guayaquil;Urbana
Pichincha;Quito;Itchimbia;2020;Enero;2;2020/01/02;2019;Octubre;7;2019/10/07;1976;Febrero;13;1976/02/13;No;43;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1949;Junio;11;1949/06/11;70;0;Mestiza;Secundaria;Si;Exterior;Exterior;Exterior;Urbana;Extranjero;Brasil;Mujer;1946;Mayo;15;1946/05/15;73;0;Otro;Superior no Universitario;Si;Exterior;Exterior;Exterior;Urbana
Azuay;Cuenca;El Batán;2020;Enero;2;2020/01/02;2019;Diciembre;27;2019/12/27;1976;Marzo;6;1976/03/06;No;43;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1953;Julio;15;1953/07/15;66;0;Mestiza;Secundaria;Si;Azuay;Cuenca;Baños;Rural;Ecuatoriano;Ecuador;Mujer;1957;Junio;8;1957/06/08;62;0;Mestiza;Primaria;Si;Azuay;Gualaceo;Gualaceo;Urbana
Pichincha;Quito;Quitumbe;2020;Enero;2;2020/01/02;2019;Septiembre;25;2019/09/25;1977;Agosto;5;1977/08/05;No;42;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1948;Diciembre;28;1948/12/28;71;0;Mestiza;Superior no Universitario;Si;Pichincha;Quito;Quitumbe;Urbana;Ecuatoriano;Ecuador;Mujer;1939;Julio;8;1939/07/08;80;0;Mestiza;Educación media / Bachillerato;Si;Pichincha;Quito;Quitumbe;Urbana
Guayas;Naranjal;Naranjal;2020;Enero;2;2020/01/02;2019;Noviembre;29;2019/11/29;1977;Octubre;11;1977/10/11;No;42;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1948;Septiembre;7;1948/09/07;71;0;Mestiza;Educación básica;Si;Guayas;Naranjal;Naranjal;Urbana;Ecuatoriano;Ecuador;Mujer;1962;Marzo;21;1962/03/21;57;0;Mestiza;Educación básica;Si;Guayas;Naranjal;Naranjal;Urbana
Manabí;Jipijapa;San Lorenzo de Jipijapa;2020;Enero;2;2020/01/02;2019;Diciembre;20;2019/12/20;1978;Abril;19;1978/04/19;No;41;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1958;Febrero;13;1958/02/13;61;0;Mestiza;Primaria;Si;Manabí;Jipijapa;San Lorenzo de Jipijapa;Urbana;Ecuatoriano;Ecuador;Mujer;1951;Octubre;13;1951/10/13;68;0;Mestiza;Primaria;Si;Manabí;Jipijapa;San Lorenzo de Jipijapa;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Enero;2;2020/01/02;2019;Diciembre;16;2019/12/16;1980;Mayo;30;1980/05/30;No;39;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1958;Abril;6;1958/04/06;61;0;Montubia;Educación media / Bachillerato;Si;Guayas;Guayaquil;Ximena;Urbana;Ecuatoriano;Ecuador;Mujer;1946;Octubre;12;1946/10/12;73;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Ximena;Urbana
Manabí;Manta;Tarqui;2020;Enero;2;2020/01/02;2019;Diciembre;27;2019/12/27;1980;Diciembre;30;1980/12/30;No;38;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1956;Noviembre;14;1956/11/14;63;0;Mestiza;Educación media / Bachillerato;Si;Manabí;Manta;Manta;Urbana;Ecuatoriano;Ecuador;Mujer;1962;Octubre;15;1962/10/15;57;0;Mestiza;Educación media / Bachillerato;Si;Exterior;Exterior;Exterior;Urbana
